Method,TrainData,TestData,modelAcc,modelF1,lexiconAcc,lexiconF1,Within
SVM_STI,nrc_joy,song_joy,0.709,0.701,0.704,0.702,FALSE
SVM_STI,nrc_joy,dialog_joy,0.689,0.692,0.685,0.689,FALSE
SVM_STI,nrc_joy,friends_joy,0.653,0.648,0.656,0.652,FALSE
SVM_STI,nrc_joy,emobank,0.662,0.669,0.641,0.65,FALSE
SVM_STI,nrc_joy,nrc_joy,0.755,0.751,0.742,0.74,TRUE
SVM_STI,nrc_joy,yelp_subset,0.734,0.726,0.719,0.713,FALSE
SVM_STI,nrc_joy,amazon_finefood_subset,0.678,0.673,0.679,0.674,FALSE
SVM_STI,nrc_joy,amazon_toys_subset,0.662,0.662,0.664,0.663,FALSE
SVM_STI,nrc_joy,sst2,0.707,0.706,0.701,0.705,FALSE
SVM_STI,yelp_subset,song_joy,0.669,0.672,0.678,0.68,FALSE
SVM_STI,yelp_subset,dialog_joy,0.743,0.741,0.743,0.742,FALSE
SVM_STI,yelp_subset,friends_joy,0.723,0.717,0.721,0.715,FALSE
SVM_STI,yelp_subset,emobank,0.691,0.696,0.681,0.686,FALSE
SVM_STI,yelp_subset,nrc_joy,0.627,0.62,0.625,0.62,FALSE
SVM_STI,yelp_subset,yelp_subset,0.924,0.923,0.924,0.923,TRUE
SVM_STI,yelp_subset,amazon_finefood_subset,0.812,0.809,0.819,0.816,FALSE
SVM_STI,yelp_subset,amazon_toys_subset,0.825,0.82,0.828,0.823,FALSE
SVM_STI,yelp_subset,sst2,0.798,0.802,0.764,0.772,FALSE
SVM_STI,amazon_finefood_subset,song_joy,0.629,0.615,0.634,0.621,FALSE
SVM_STI,amazon_finefood_subset,dialog_joy,0.722,0.722,0.722,0.723,FALSE
SVM_STI,amazon_finefood_subset,friends_joy,0.701,0.696,0.696,0.689,FALSE
SVM_STI,amazon_finefood_subset,emobank,0.66,0.666,0.653,0.658,FALSE
SVM_STI,amazon_finefood_subset,nrc_joy,0.653,0.647,0.645,0.639,FALSE
SVM_STI,amazon_finefood_subset,yelp_subset,0.881,0.88,0.884,0.882,FALSE
SVM_STI,amazon_finefood_subset,amazon_finefood_subset,0.863,0.862,0.863,0.862,TRUE
SVM_STI,amazon_finefood_subset,amazon_toys_subset,0.816,0.812,0.824,0.822,FALSE
SVM_STI,amazon_finefood_subset,sst2,0.764,0.761,0.772,0.768,FALSE
SVM_STI,amazon_toys_subset,song_joy,0.708,0.694,0.669,0.663,FALSE
SVM_STI,amazon_toys_subset,dialog_joy,0.73,0.731,0.729,0.731,FALSE
SVM_STI,amazon_toys_subset,friends_joy,0.721,0.723,0.725,0.727,FALSE
SVM_STI,amazon_toys_subset,emobank,0.662,0.665,0.657,0.663,FALSE
SVM_STI,amazon_toys_subset,nrc_joy,0.607,0.606,0.608,0.608,FALSE
SVM_STI,amazon_toys_subset,yelp_subset,0.88,0.878,0.886,0.884,FALSE
SVM_STI,amazon_toys_subset,amazon_finefood_subset,0.801,0.8,0.802,0.8,FALSE
SVM_STI,amazon_toys_subset,amazon_toys_subset,0.878,0.877,0.88,0.878,TRUE
SVM_STI,amazon_toys_subset,sst2,0.763,0.764,0.765,0.76,FALSE
SVM_STI,nrc_surprise,nrc_surprise,0.718,0.719,0.683,0.686,TRUE
SVM_STI,nrc_surprise,song_surprise,0.53,0.507,0.533,0.514,FALSE
SVM_STI,nrc_surprise,dialog_surprise,0.577,0.573,0.581,0.578,FALSE
SVM_STI,nrc_surprise,friends_surprise,0.559,0.554,0.564,0.556,FALSE
SVM_STI,nrc_sadness,nrc_sadness,0.707,0.704,0.68,0.674,TRUE
SVM_STI,nrc_sadness,song_sadness,0.607,0.614,0.611,0.619,FALSE
SVM_STI,nrc_sadness,dialog_sadness,0.686,0.683,0.678,0.674,FALSE
SVM_STI,nrc_sadness,friends_sadness,0.673,0.655,0.668,0.652,FALSE
SVM_STI,nrc_fear,nrc_fear,0.782,0.783,0.777,0.772,TRUE
SVM_STI,nrc_fear,song_fear,0.588,0.595,0.592,0.607,FALSE
SVM_STI,nrc_fear,dialog_fear,0.678,0.658,0.634,0.622,FALSE
SVM_STI,nrc_fear,friends_fear,0.628,0.632,0.628,0.639,FALSE
SVM_STI,nrc_anger,nrc_anger,0.708,0.706,0.696,0.698,TRUE
SVM_STI,nrc_anger,song_anger,0.613,0.616,0.584,0.586,FALSE
SVM_STI,nrc_anger,dialog_anger,0.603,0.6,0.573,0.568,FALSE
SVM_STI,nrc_anger,friends_anger,0.538,0.518,0.532,0.524,FALSE
FFN_STI,nrc_joy,song_joy,0.59,0.571,0.619,0.601,FALSE
FFN_STI,nrc_joy,dialog_joy,0.593,0.531,0.624,0.623,FALSE
FFN_STI,nrc_joy,friends_joy,0.576,0.498,0.601,0.59,FALSE
FFN_STI,nrc_joy,emobank,0.62,0.577,0.606,0.609,FALSE
FFN_STI,nrc_joy,nrc_joy,0.757,0.749,0.717,0.713,TRUE
FFN_STI,nrc_joy,yelp_subset,0.657,0.646,0.698,0.689,FALSE
FFN_STI,nrc_joy,amazon_finefood_subset,0.643,0.629,0.633,0.627,FALSE
FFN_STI,nrc_joy,amazon_toys_subset,0.595,0.572,0.657,0.647,FALSE
FFN_STI,nrc_joy,sst2,0.606,0.578,0.624,0.606,FALSE
FFN_STI,yelp_subset,song_joy,0.664,0.64,0.629,0.616,FALSE
FFN_STI,yelp_subset,dialog_joy,0.741,0.731,0.731,0.728,FALSE
FFN_STI,yelp_subset,friends_joy,0.714,0.709,0.696,0.687,FALSE
FFN_STI,yelp_subset,emobank,0.695,0.664,0.67,0.675,FALSE
FFN_STI,yelp_subset,nrc_joy,0.624,0.6,0.614,0.607,FALSE
FFN_STI,yelp_subset,yelp_subset,0.934,0.934,0.906,0.905,TRUE
FFN_STI,yelp_subset,amazon_finefood_subset,0.816,0.811,0.806,0.803,FALSE
FFN_STI,yelp_subset,amazon_toys_subset,0.825,0.828,0.805,0.801,FALSE
FFN_STI,yelp_subset,sst2,0.724,0.732,0.732,0.728,FALSE
FFN_STI,amazon_finefood_subset,song_joy,0.644,0.642,0.614,0.617,FALSE
FFN_STI,amazon_finefood_subset,dialog_joy,0.724,0.715,0.711,0.712,FALSE
FFN_STI,amazon_finefood_subset,friends_joy,0.684,0.66,0.674,0.672,FALSE
FFN_STI,amazon_finefood_subset,emobank,0.647,0.601,0.639,0.643,FALSE
FFN_STI,amazon_finefood_subset,nrc_joy,0.65,0.641,0.627,0.62,FALSE
FFN_STI,amazon_finefood_subset,yelp_subset,0.88,0.882,0.875,0.873,FALSE
FFN_STI,amazon_finefood_subset,amazon_finefood_subset,0.864,0.86,0.843,0.841,TRUE
FFN_STI,amazon_finefood_subset,amazon_toys_subset,0.82,0.817,0.808,0.803,FALSE
FFN_STI,amazon_finefood_subset,sst2,0.678,0.676,0.682,0.684,FALSE
FFN_STI,amazon_toys_subset,song_joy,0.683,0.666,0.713,0.707,FALSE
FFN_STI,amazon_toys_subset,dialog_joy,0.741,0.733,0.714,0.712,FALSE
FFN_STI,amazon_toys_subset,friends_joy,0.702,0.683,0.697,0.694,FALSE
FFN_STI,amazon_toys_subset,emobank,0.67,0.662,0.648,0.653,FALSE
FFN_STI,amazon_toys_subset,nrc_joy,0.63,0.621,0.595,0.584,FALSE
FFN_STI,amazon_toys_subset,yelp_subset,0.874,0.872,0.868,0.865,FALSE
FFN_STI,amazon_toys_subset,amazon_finefood_subset,0.8,0.79,0.796,0.793,FALSE
FFN_STI,amazon_toys_subset,amazon_toys_subset,0.871,0.866,0.869,0.868,TRUE
FFN_STI,amazon_toys_subset,sst2,0.68,0.682,0.678,0.676,FALSE
FFN_STI,nrc_surprise,nrc_surprise,0.7,0.708,0.668,0.674,TRUE
FFN_STI,nrc_surprise,song_surprise,0.526,0.53,0.516,0.499,FALSE
FFN_STI,nrc_surprise,dialog_surprise,0.553,0.613,0.585,0.576,FALSE
FFN_STI,nrc_surprise,friends_surprise,0.543,0.607,0.593,0.595,FALSE
FFN_STI,nrc_sadness,nrc_sadness,0.725,0.723,0.654,0.661,TRUE
FFN_STI,nrc_sadness,song_sadness,0.513,0.551,0.544,0.523,FALSE
FFN_STI,nrc_sadness,dialog_sadness,0.636,0.635,0.566,0.568,FALSE
FFN_STI,nrc_sadness,friends_sadness,0.618,0.653,0.503,0.518,FALSE
FFN_STI,nrc_fear,nrc_fear,0.792,0.782,0.753,0.739,TRUE
FFN_STI,nrc_fear,song_fear,0.626,0.599,0.626,0.629,FALSE
FFN_STI,nrc_fear,dialog_fear,0.701,0.674,0.662,0.64,FALSE
FFN_STI,nrc_fear,friends_fear,0.614,0.599,0.545,0.531,FALSE
FFN_STI,nrc_anger,nrc_anger,0.677,0.677,0.699,0.703,TRUE
FFN_STI,nrc_anger,song_anger,0.616,0.61,0.613,0.609,FALSE
FFN_STI,nrc_anger,dialog_anger,0.658,0.627,0.609,0.605,FALSE
FFN_STI,nrc_anger,friends_anger,0.609,0.56,0.559,0.546,FALSE
Univariant,nrc_joy,song_joy,,,0.53,0.448,FALSE
Univariant,nrc_joy,dialog_joy,,,0.617,0.632,FALSE
Univariant,nrc_joy,friends_joy,,,0.638,0.653,FALSE
Univariant,nrc_joy,emobank,,,0.577,0.604,FALSE
Univariant,nrc_joy,nrc_joy,,,0.696,0.696,TRUE
Univariant,nrc_joy,yelp_subset,,,0.635,0.63,FALSE
Univariant,nrc_joy,amazon_finefood_subset,,,0.615,0.617,FALSE
Univariant,nrc_joy,amazon_toys_subset,,,0.639,0.639,FALSE
Univariant,nrc_joy,sst2,,,0.58,0.523,FALSE
Univariant,yelp_subset,song_joy,,,0.53,0.456,FALSE
Univariant,yelp_subset,dialog_joy,,,0.648,0.645,FALSE
Univariant,yelp_subset,friends_joy,,,0.678,0.655,FALSE
Univariant,yelp_subset,emobank,,,0.599,0.618,FALSE
Univariant,yelp_subset,nrc_joy,,,0.563,0.553,FALSE
Univariant,yelp_subset,yelp_subset,,,0.84,0.832,TRUE
Univariant,yelp_subset,amazon_finefood_subset,,,0.745,0.735,FALSE
Univariant,yelp_subset,amazon_toys_subset,,,0.743,0.73,FALSE
Univariant,yelp_subset,sst2,,,0.642,0.641,FALSE
Univariant,amazon_finefood_subset,song_joy,,,0.545,0.464,FALSE
Univariant,amazon_finefood_subset,dialog_joy,,,0.635,0.635,FALSE
Univariant,amazon_finefood_subset,friends_joy,,,0.659,0.644,FALSE
Univariant,amazon_finefood_subset,emobank,,,0.588,0.602,FALSE
Univariant,amazon_finefood_subset,nrc_joy,,,0.585,0.575,FALSE
Univariant,amazon_finefood_subset,yelp_subset,,,0.788,0.774,FALSE
Univariant,amazon_finefood_subset,amazon_finefood_subset,,,0.807,0.802,TRUE
Univariant,amazon_finefood_subset,amazon_toys_subset,,,0.773,0.762,FALSE
Univariant,amazon_finefood_subset,sst2,,,0.683,0.678,FALSE
Univariant,amazon_toys_subset,song_joy,,,0.54,0.451,FALSE
Univariant,amazon_toys_subset,dialog_joy,,,0.617,0.614,FALSE
Univariant,amazon_toys_subset,friends_joy,,,0.649,0.629,FALSE
Univariant,amazon_toys_subset,emobank,,,0.587,0.598,FALSE
Univariant,amazon_toys_subset,nrc_joy,,,0.586,0.579,FALSE
Univariant,amazon_toys_subset,yelp_subset,,,0.753,0.736,FALSE
Univariant,amazon_toys_subset,amazon_finefood_subset,,,0.743,0.733,FALSE
Univariant,amazon_toys_subset,amazon_toys_subset,,,0.79,0.774,TRUE
Univariant,amazon_toys_subset,sst2,,,0.621,0.614,FALSE
Univariant,nrc_surprise,nrc_surprise,,,0.68,0.672,TRUE
Univariant,nrc_surprise,song_surprise,,,0.51,0.45,FALSE
Univariant,nrc_surprise,dialog_surprise,,,0.682,0.672,FALSE
Univariant,nrc_surprise,friends_surprise,,,0.624,0.608,FALSE
Univariant,nrc_sadness,nrc_sadness,,,0.643,0.647,TRUE
Univariant,nrc_sadness,song_sadness,,,0.563,0.506,FALSE
Univariant,nrc_sadness,dialog_sadness,,,0.617,0.613,FALSE
Univariant,nrc_sadness,friends_sadness,,,0.664,0.665,FALSE
Univariant,nrc_fear,nrc_fear,,,0.704,0.657,TRUE
Univariant,nrc_fear,song_fear,,,0.573,0.497,FALSE
Univariant,nrc_fear,dialog_fear,,,0.513,0.401,FALSE
Univariant,nrc_fear,friends_fear,,,0.616,0.641,FALSE
Univariant,nrc_anger,nrc_anger,,,0.646,0.63,TRUE
Univariant,nrc_anger,song_anger,,,0.5,0.371,FALSE
Univariant,nrc_anger,dialog_anger,,,0.546,0.53,FALSE
Univariant,nrc_anger,friends_anger,,,0.531,0.509,FALSE
DistilBERT_Mask,nrc_joy,nrc_joy,0.798,0.799,0.741,0.734,TRUE
DistilBERT_Mask,nrc_joy,yelp_subset,0.812,0.809,0.744,0.734,FALSE
DistilBERT_Mask,nrc_joy,amazon_finefood_subset,0.768,0.759,0.691,0.683,FALSE
DistilBERT_Mask,nrc_joy,amazon_toys_subset,0.762,0.753,0.685,0.683,FALSE
DistilBERT_Mask,nrc_joy,song_joy,0.724,0.703,0.585,0.53,FALSE
DistilBERT_Mask,nrc_joy,dialog_joy,0.722,0.705,0.664,0.664,FALSE
DistilBERT_Mask,nrc_joy,friends_joy,0.696,0.659,0.631,0.618,FALSE
DistilBERT_Mask,nrc_joy,emobank,0.697,0.683,0.627,0.63,FALSE
DistilBERT_Mask,nrc_joy,sst2,0.778,0.784,0.722,0.716,FALSE
DistilBERT_Mask,yelp_subset,nrc_joy,0.651,0.644,0.558,0.559,FALSE
DistilBERT_Mask,yelp_subset,yelp_subset,0.942,0.942,0.908,0.906,TRUE
DistilBERT_Mask,yelp_subset,amazon_finefood_subset,0.904,0.902,0.779,0.781,FALSE
DistilBERT_Mask,yelp_subset,amazon_toys_subset,0.9,0.901,0.796,0.795,FALSE
DistilBERT_Mask,yelp_subset,song_joy,0.793,0.788,0.59,0.513,FALSE
DistilBERT_Mask,yelp_subset,dialog_joy,0.808,0.805,0.656,0.653,FALSE
DistilBERT_Mask,yelp_subset,friends_joy,0.795,0.796,0.699,0.677,FALSE
DistilBERT_Mask,yelp_subset,emobank,0.773,0.76,0.621,0.632,FALSE
DistilBERT_Mask,yelp_subset,sst2,0.824,0.838,0.724,0.736,FALSE
DistilBERT_Mask,amazon_finefood_subset,nrc_joy,0.667,0.667,0.569,0.569,FALSE
DistilBERT_Mask,amazon_finefood_subset,yelp_subset,0.929,0.931,0.866,0.86,FALSE
DistilBERT_Mask,amazon_finefood_subset,amazon_finefood_subset,0.933,0.932,0.841,0.839,TRUE
DistilBERT_Mask,amazon_finefood_subset,amazon_toys_subset,0.907,0.909,0.813,0.811,FALSE
DistilBERT_Mask,amazon_finefood_subset,song_joy,0.768,0.765,0.605,0.54,FALSE
DistilBERT_Mask,amazon_finefood_subset,dialog_joy,0.812,0.812,0.707,0.7,FALSE
DistilBERT_Mask,amazon_finefood_subset,friends_joy,0.801,0.803,0.715,0.696,FALSE
DistilBERT_Mask,amazon_finefood_subset,emobank,0.777,0.769,0.618,0.624,FALSE
DistilBERT_Mask,amazon_finefood_subset,sst2,0.812,0.803,0.743,0.756,FALSE
DistilBERT_Mask,amazon_toys_subset,nrc_joy,0.659,0.67,0.573,0.594,FALSE
DistilBERT_Mask,amazon_toys_subset,yelp_subset,0.924,0.924,0.87,0.866,FALSE
DistilBERT_Mask,amazon_toys_subset,amazon_finefood_subset,0.906,0.903,0.795,0.794,FALSE
DistilBERT_Mask,amazon_toys_subset,amazon_toys_subset,0.928,0.928,0.875,0.873,TRUE
DistilBERT_Mask,amazon_toys_subset,song_joy,0.737,0.724,0.575,0.505,FALSE
DistilBERT_Mask,amazon_toys_subset,dialog_joy,0.816,0.823,0.692,0.692,FALSE
DistilBERT_Mask,amazon_toys_subset,friends_joy,0.787,0.802,0.732,0.727,FALSE
DistilBERT_Mask,amazon_toys_subset,emobank,0.776,0.784,0.63,0.661,FALSE
DistilBERT_Mask,amazon_toys_subset,sst2,0.798,0.803,0.732,0.736,FALSE
DistilBERT_Mask,nrc_surprise,nrc_surprise,0.734,0.734,0.703,0.702,TRUE
DistilBERT_Mask,nrc_surprise,song_surprise,0.602,0.547,0.467,0.375,FALSE
DistilBERT_Mask,nrc_surprise,dialog_surprise,0.521,0.568,0.57,0.555,FALSE
DistilBERT_Mask,nrc_surprise,friends_surprise,0.58,0.62,0.593,0.58,FALSE
DistilBERT_Mask,nrc_sadness,nrc_sadness,0.742,0.744,0.686,0.664,TRUE
DistilBERT_Mask,nrc_sadness,song_sadness,0.618,0.567,0.58,0.528,FALSE
DistilBERT_Mask,nrc_sadness,dialog_sadness,0.779,0.781,0.713,0.695,FALSE
DistilBERT_Mask,nrc_sadness,friends_sadness,0.745,0.751,0.717,0.703,FALSE
DistilBERT_Mask,nrc_fear,nrc_fear,0.801,0.797,0.754,0.734,TRUE
DistilBERT_Mask,nrc_fear,song_fear,0.603,0.626,0.542,0.464,FALSE
DistilBERT_Mask,nrc_fear,dialog_fear,0.761,0.736,0.659,0.605,FALSE
DistilBERT_Mask,nrc_fear,friends_fear,0.681,0.646,0.624,0.609,FALSE
DistilBERT_Mask,nrc_anger,nrc_anger,0.72,0.728,0.665,0.637,TRUE
DistilBERT_Mask,nrc_anger,song_anger,0.708,0.714,0.522,0.416,FALSE
DistilBERT_Mask,nrc_anger,dialog_anger,0.787,0.785,0.707,0.705,FALSE
DistilBERT_Mask,nrc_anger,friends_anger,0.668,0.677,0.632,0.622,FALSE
DistilBERT_Partition,nrc_joy,nrc_joy,0.798,0.799,0.751,0.739,TRUE
DistilBERT_Partition,nrc_joy,yelp_subset,0.812,0.809,0.692,0.677,FALSE
DistilBERT_Partition,nrc_joy,amazon_finefood_subset,0.768,0.759,0.671,0.658,FALSE
DistilBERT_Partition,nrc_joy,amazon_toys_subset,0.762,0.753,0.67,0.658,FALSE
DistilBERT_Partition,nrc_joy,song_joy,0.724,0.703,0.585,0.509,FALSE
DistilBERT_Partition,nrc_joy,dialog_joy,0.722,0.705,0.673,0.676,FALSE
DistilBERT_Partition,nrc_joy,friends_joy,0.696,0.659,0.618,0.62,FALSE
DistilBERT_Partition,nrc_joy,emobank,0.697,0.683,0.623,0.625,FALSE
