,Word,Bert,Distilbert
0,hormones,-0.000144876,-2.74E-05
1,neglect,-0.000128212,-7.38E-06
2,defending,-0.000123769,-5.85E-06
3,shelter,-0.000116594,-1.13E-05
4,keeper,-0.000110028,-3.32E-05
5,pawn,-9.35E-05,5.91E-06
6,avatar,-9.19E-05,4.50E-05
7,govt,-9.16E-05,-3.17E-05
8,bites,-8.76E-05,-3.40E-05
9,deeply,-8.68E-05,-9.36E-06
10,atlantic,-8.65E-05,-2.09E-05
11,greet,-8.55E-05,1.71E-05
12,explains,-8.52E-05,-3.63E-05
13,harsh,-8.19E-05,-1.39E-05
14,playoffs,-8.12E-05,2.54E-05
15,aspect,-8.04E-05,-4.93E-06
16,wounds,-8.04E-05,-1.56E-05
17,designer,-7.76E-05,1.02E-05
18,tragedy,-7.76E-05,-9.11E-06
19,allows,-7.57E-05,-2.62E-05
20,records,-7.40E-05,1.94E-05
21,divorced,-7.13E-05,7.52E-06
22,17th,-6.95E-05,1.25E-06
23,horribly,-6.71E-05,5.61E-05
24,segment,-6.69E-05,1.80E-05
25,blues,-6.56E-05,-2.23E-05
26,lasts,-6.40E-05,-1.74E-05
27,devastated,-6.35E-05,-2.53E-06
28,inadequate,-6.24E-05,2.91E-05
29,teens,-6.16E-05,1.38E-05
30,rangers,-6.00E-05,-1.74E-05
31,somethin,-5.97E-05,-1.64E-05
32,mentions,-5.97E-05,-7.70E-06
33,informed,-5.91E-05,-5.96E-05
34,trusted,-5.78E-05,2.62E-05
35,hugging,-5.65E-05,-1.92E-05
36,violent,-5.56E-05,1.39E-05
37,noticing,-5.54E-05,9.88E-06
38,affects,-5.52E-05,-3.91E-05
39,asia,-5.48E-05,-3.98E-06
40,reporter,-5.41E-05,5.34E-06
41,understood,-5.32E-05,-8.76E-05
42,34,-5.28E-05,-4.43E-06
43,joseph,-5.27E-05,-1.61E-05
44,doom,-5.25E-05,-1.02E-05
45,syria,-5.17E-05,9.47E-06
46,involved,-5.15E-05,-1.22E-05
47,accurate,-5.09E-05,3.86E-05
48,grasp,-5.09E-05,-1.57E-05
49,deadly,-5.00E-05,1.25E-05
50,talked,-5.00E-05,-6.25E-07
51,colder,-4.98E-05,5.91E-06
52,recall,-4.98E-05,1.75E-05
53,deprived,-4.88E-05,1.20E-05
54,explaining,-4.87E-05,2.01E-05
55,souls,-4.86E-05,-1.58E-05
56,canceled,-4.77E-05,-4.42E-06
57,myth,-4.76E-05,-5.38E-06
58,eagles,-4.67E-05,-8.38E-05
59,technically,-4.66E-05,-2.90E-05
60,noisy,-4.64E-05,-6.97E-05
61,permission,-4.64E-05,-2.32E-05
62,moral,-4.58E-05,-3.04E-05
63,mostly,-4.58E-05,1.59E-06
64,greedy,-4.55E-05,-2.27E-05
65,pocket,-4.51E-05,-1.62E-05
66,vivid,-4.50E-05,4.26E-06
67,buddies,-4.43E-05,2.28E-05
68,protect,-4.40E-05,7.02E-07
69,petty,-4.35E-05,3.73E-05
70,facing,-4.29E-05,-1.59E-05
71,snacks,-4.18E-05,3.23E-05
72,majority,-4.18E-05,1.82E-05
73,attended,-4.16E-05,1.22E-05
74,shared,-4.14E-05,-1.64E-05
75,cure,-4.12E-05,-8.88E-06
76,skies,-4.12E-05,3.36E-05
77,familiar,-4.06E-05,-3.54E-05
78,became,-4.06E-05,-1.29E-05
79,lineup,-4.05E-05,8.21E-05
80,whom,-4.04E-05,-1.79E-05
81,tequila,-4.04E-05,-2.89E-05
82,funk,-4.03E-05,-1.25E-05
83,mexico,-3.97E-05,8.44E-06
84,analysis,-3.97E-05,-2.99E-05
85,nashville,-3.96E-05,4.75E-05
86,melbourne,-3.95E-05,-3.02E-05
87,example,-3.95E-05,-1.14E-05
88,experiences,-3.94E-05,-3.39E-05
89,pillows,-3.93E-05,6.36E-05
90,charlotte,-3.92E-05,1.05E-05
91,prior,-3.90E-05,-4.17E-05
92,raising,-3.90E-05,-6.81E-05
93,iced,-3.89E-05,2.57E-05
94,bonfire,-3.88E-05,1.67E-05
95,reflect,-3.87E-05,-2.14E-05
96,injured,-3.87E-05,7.03E-07
97,fought,-3.82E-05,-3.26E-06
98,lakers,-3.80E-05,6.80E-06
99,priority,-3.78E-05,6.19E-06
100,mummy,-3.76E-05,-1.16E-05
101,decorations,-3.75E-05,-1.45E-05
102,satisfied,-3.74E-05,-1.18E-05
103,beloved,-3.73E-05,-1.87E-05
104,31,-3.70E-05,1.15E-07
105,creed,-3.68E-05,1.77E-05
106,behavior,-3.67E-05,-3.11E-05
107,represent,-3.67E-05,-3.07E-05
108,stained,-3.66E-05,-2.99E-05
109,humor,-3.66E-05,-1.60E-05
110,haunt,-3.62E-05,6.72E-06
111,sunglasses,-3.61E-05,3.01E-05
112,relate,-3.60E-05,-2.14E-05
113,internship,-3.58E-05,-4.89E-05
114,pit,-3.55E-05,-4.54E-06
115,budget,-3.54E-05,-1.72E-05
116,strangers,-3.52E-05,-4.16E-06
117,compassion,-3.52E-05,2.11E-06
118,realising,-3.51E-05,-3.25E-07
119,peter,-3.48E-05,2.53E-05
120,backup,-3.45E-05,-3.59E-05
121,ze,-3.44E-05,-7.21E-06
122,london,-3.43E-05,-2.44E-05
123,humour,-3.42E-05,-1.80E-05
124,impress,-3.41E-05,-4.17E-05
125,thousands,-3.41E-05,4.14E-06
126,heavy,-3.38E-05,7.54E-06
127,guilty,-3.37E-05,-1.85E-05
128,fringe,-3.34E-05,7.94E-06
129,expression,-3.30E-05,-6.34E-06
130,maturity,-3.29E-05,-9.87E-06
131,claim,-3.28E-05,-1.24E-05
132,guns,-3.27E-05,-3.44E-05
133,meets,-3.25E-05,-4.27E-05
134,drew,-3.23E-05,-4.75E-06
135,je,-3.23E-05,-1.86E-05
136,giggle,-3.23E-05,-4.63E-05
137,skipped,-3.21E-05,-1.07E-06
138,arrested,-3.21E-05,-2.50E-05
139,proved,-3.20E-05,-9.73E-06
140,offended,-3.18E-05,-4.16E-05
141,hop,-3.18E-05,-5.32E-07
142,recognize,-3.18E-05,-2.93E-06
143,thru,-3.18E-05,1.49E-06
144,virginia,-3.17E-05,-1.25E-05
145,spoken,-3.16E-05,1.92E-05
146,forgetting,-3.14E-05,-6.11E-06
147,today,-3.13E-05,-1.25E-05
148,produced,-3.13E-05,-3.27E-05
149,sharing,-3.12E-05,-1.42E-05
150,eu,-3.12E-05,1.67E-06
151,contest,-3.10E-05,-1.99E-05
152,homes,-3.09E-05,6.99E-06
153,visiting,-3.07E-05,6.87E-06
154,endure,-3.06E-05,-7.98E-06
155,devastating,-3.04E-05,-1.22E-05
156,losses,-3.03E-05,1.82E-05
157,promises,-3.02E-05,4.21E-06
158,opportunity,-3.02E-05,-7.29E-06
159,join,-2.97E-05,-7.85E-06
160,barley,-2.96E-05,-2.58E-05
161,awe,-2.95E-05,-9.68E-06
162,resist,-2.94E-05,-1.02E-05
163,reminded,-2.90E-05,-1.29E-05
164,exist,-2.89E-05,1.04E-06
165,wallet,-2.89E-05,-2.57E-05
166,divorce,-2.89E-05,-4.37E-05
167,matthew,-2.89E-05,-2.50E-06
168,follow,-2.89E-05,-1.10E-05
169,elections,-2.88E-05,-2.78E-05
170,sky,-2.88E-05,-6.88E-07
171,shine,-2.87E-05,-1.50E-05
172,weakness,-2.86E-05,-6.00E-06
173,et,-2.85E-05,-3.55E-06
174,monopoly,-2.82E-05,4.18E-05
175,20th,-2.80E-05,-3.63E-05
176,listed,-2.80E-05,-7.06E-05
177,almond,-2.79E-05,-4.85E-05
178,swallow,-2.78E-05,-2.22E-05
179,define,-2.78E-05,-3.67E-05
180,sung,-2.77E-05,-1.12E-05
181,attend,-2.77E-05,-7.12E-06
182,strength,-2.76E-05,-1.66E-05
183,worker,-2.76E-05,-2.29E-05
184,education,-2.76E-05,-3.34E-07
185,reflection,-2.76E-05,-2.76E-05
186,ar,-2.75E-05,-6.85E-06
187,atm,-2.75E-05,1.76E-05
188,victim,-2.74E-05,-2.37E-05
189,escape,-2.72E-05,-8.48E-06
190,sin,-2.72E-05,-7.75E-06
191,inevitable,-2.70E-05,-4.55E-06
192,den,-2.70E-05,-1.06E-05
193,daughters,-2.69E-05,-1.73E-05
194,warped,-2.68E-05,-9.50E-06
195,built,-2.67E-05,3.83E-06
196,quote,-2.66E-05,-8.64E-06
197,clever,-2.65E-05,-2.26E-05
198,ankle,-2.65E-05,1.12E-05
199,precious,-2.65E-05,-1.48E-05
200,spend,-2.65E-05,-9.16E-06
201,christians,-2.65E-05,-4.34E-05
202,guilt,-2.64E-05,-3.09E-05
203,follows,-2.64E-05,-2.46E-05
204,blankets,-2.63E-05,-4.43E-05
205,alaska,-2.63E-05,-1.99E-05
206,besides,-2.61E-05,-1.05E-05
207,rarely,-2.60E-05,2.32E-06
208,ik,-2.59E-05,-3.85E-06
209,ow,-2.59E-05,3.14E-06
210,rejection,-2.59E-05,9.56E-06
211,crushed,-2.58E-05,-7.06E-06
212,dull,-2.58E-05,1.57E-05
213,celebrities,-2.57E-05,2.06E-05
214,ops,-2.56E-05,-6.74E-06
215,wonderland,-2.55E-05,1.04E-05
216,spiritual,-2.55E-05,9.75E-07
217,marks,-2.55E-05,1.75E-05
218,ease,-2.55E-05,-1.27E-05
219,strings,-2.55E-05,2.32E-06
220,hardly,-2.54E-05,4.53E-06
221,swollen,-2.54E-05,1.42E-05
222,hs,-2.52E-05,2.52E-05
223,believed,-2.50E-05,-2.63E-05
224,bed,-2.50E-05,-1.59E-05
225,72,-2.50E-05,4.83E-05
226,craving,-2.50E-05,1.28E-05
227,aching,-2.49E-05,-1.51E-05
228,scene,-2.49E-05,-1.54E-05
229,policy,-2.49E-05,-2.46E-05
230,poem,-2.48E-05,7.52E-06
231,ada,-2.48E-05,-5.01E-07
232,jacob,-2.47E-05,-2.46E-06
233,practical,-2.47E-05,-5.82E-05
234,witty,-2.47E-05,-6.78E-07
235,imagined,-2.46E-05,-3.06E-06
236,via,-2.46E-05,5.31E-06
237,suite,-2.43E-05,-4.09E-06
238,healing,-2.43E-05,-3.37E-05
239,assume,-2.43E-05,-4.49E-05
240,indiana,-2.42E-05,4.24E-07
241,38,-2.42E-05,4.53E-06
242,starving,-2.41E-05,2.72E-05
243,tigers,-2.40E-05,-1.97E-05
244,qb,-2.40E-05,2.67E-07
245,noah,-2.39E-05,-1.78E-05
246,hanging,-2.38E-05,-4.08E-06
247,realization,-2.38E-05,-3.23E-06
248,lp,-2.37E-05,2.94E-05
249,shining,-2.37E-05,-3.33E-05
250,windy,-2.36E-05,4.24E-06
251,net,-2.36E-05,-1.31E-05
252,lawrence,-2.35E-05,-2.20E-05
253,outside,-2.35E-05,-1.75E-05
254,patch,-2.34E-05,2.80E-05
255,holidays,-2.34E-05,9.82E-06
256,hometown,-2.33E-05,1.35E-05
257,nation,-2.33E-05,-2.75E-05
258,celebrate,-2.33E-05,-2.12E-05
259,apart,-2.31E-05,2.16E-05
260,le,-2.31E-05,-2.43E-06
261,hi,-2.31E-05,-8.29E-06
262,remains,-2.30E-05,8.89E-06
263,digging,-2.30E-05,4.96E-05
264,9th,-2.29E-05,2.66E-06
265,mega,-2.29E-05,-1.03E-05
266,loyal,-2.29E-05,2.89E-05
267,port,-2.29E-05,-1.87E-05
268,depression,-2.29E-05,2.08E-06
269,succeed,-2.28E-05,-2.59E-05
270,ole,-2.27E-05,-4.42E-06
271,makes,-2.27E-05,-1.28E-05
272,bon,-2.26E-05,-8.68E-08
273,mothers,-2.26E-05,1.46E-05
274,heights,-2.26E-05,-1.51E-05
275,consists,-2.26E-05,7.07E-06
276,reality,-2.25E-05,-2.38E-06
277,barely,-2.25E-05,-1.98E-05
278,foods,-2.25E-05,7.34E-07
279,survive,-2.25E-05,3.31E-06
280,looks,-2.25E-05,1.33E-06
281,humans,-2.23E-05,-2.73E-05
282,pump,-2.23E-05,-2.19E-06
283,gate,-2.22E-05,-4.78E-05
284,together,-2.22E-05,-1.22E-05
285,substitute,-2.22E-05,4.09E-05
286,thread,-2.22E-05,2.53E-05
287,heroes,-2.21E-05,1.13E-05
288,forgiven,-2.21E-05,-4.59E-06
289,thousand,-2.21E-05,-1.35E-05
290,flooding,-2.20E-05,-4.33E-05
291,sides,-2.20E-05,1.41E-05
292,mood,-2.20E-05,-1.24E-05
293,usually,-2.20E-05,2.65E-06
294,goin,-2.19E-05,-1.39E-05
295,bills,-2.19E-05,-1.94E-05
296,cyrus,-2.19E-05,-5.91E-06
297,grows,-2.18E-05,1.51E-05
298,15th,-2.17E-05,-8.74E-06
299,tough,-2.17E-05,-1.15E-06
300,day,-2.16E-05,-1.32E-05
301,pastor,-2.16E-05,-2.57E-05
302,flowers,-2.16E-05,-1.01E-05
303,effect,-2.16E-05,-1.63E-05
304,gig,-2.15E-05,2.52E-05
305,yu,-2.14E-05,-1.73E-05
306,avenue,-2.14E-05,-3.41E-05
307,slim,-2.14E-05,4.11E-05
308,falls,-2.13E-05,-1.99E-06
309,upset,-2.12E-05,-1.08E-05
310,characters,-2.12E-05,-1.07E-05
311,leaves,-2.11E-05,-1.61E-05
312,weave,-2.10E-05,2.04E-05
313,thunder,-2.09E-05,-1.33E-05
314,suffering,-2.09E-05,-1.92E-05
315,sydney,-2.09E-05,1.51E-06
316,pills,-2.07E-05,-8.81E-06
317,hits,-2.06E-05,-6.22E-06
318,denial,-2.04E-05,-1.82E-05
319,stayed,-2.04E-05,-2.07E-05
320,shows,-2.03E-05,1.68E-06
321,ca,-2.03E-05,-2.43E-07
322,helping,-2.03E-05,-1.33E-06
323,awareness,-2.02E-05,6.13E-06
324,te,-2.01E-05,-5.71E-06
325,definition,-2.01E-05,-2.07E-05
326,teddy,-2.01E-05,-6.04E-06
327,fell,-2.00E-05,-4.07E-06
328,basis,-1.99E-05,-1.35E-05
329,undefeated,-1.98E-05,-3.02E-06
330,moving,-1.98E-05,2.97E-06
331,truth,-1.97E-05,-2.98E-05
332,darren,-1.97E-05,-1.28E-05
333,process,-1.96E-05,-5.56E-05
334,frost,-1.96E-05,-5.94E-06
335,notice,-1.95E-05,-1.72E-05
336,rough,-1.95E-05,-2.18E-05
337,october,-1.94E-05,2.30E-05
338,youngest,-1.94E-05,-3.93E-05
339,coaster,-1.91E-05,1.90E-06
340,cleveland,-1.91E-05,-9.89E-06
341,leave,-1.90E-05,-7.75E-06
342,remembered,-1.89E-05,3.71E-06
343,sum,-1.89E-05,-1.49E-06
344,away,-1.88E-05,-6.88E-06
345,diaries,-1.88E-05,1.86E-05
346,toronto,-1.88E-05,-1.17E-05
347,eventually,-1.88E-05,4.66E-06
348,lies,-1.88E-05,-2.24E-05
349,sarcasm,-1.87E-05,1.80E-06
350,seems,-1.86E-05,-5.22E-06
351,laughs,-1.86E-05,-2.97E-05
352,avoiding,-1.86E-05,-6.08E-06
353,doe,-1.85E-05,-2.13E-05
354,envy,-1.85E-05,1.72E-05
355,everyday,-1.84E-05,-7.68E-06
356,zombie,-1.83E-05,2.85E-06
357,liam,-1.83E-05,-6.84E-06
358,staying,-1.83E-05,-3.37E-05
359,sleepy,-1.82E-05,-4.01E-08
360,passed,-1.82E-05,4.78E-06
361,rappers,-1.81E-05,-1.62E-06
362,reset,-1.81E-05,1.90E-05
363,ke,-1.80E-05,-1.28E-05
364,disease,-1.80E-05,2.75E-06
365,microwave,-1.80E-05,-4.45E-06
366,cum,-1.80E-05,-6.87E-06
367,parent,-1.79E-05,-1.26E-05
368,hollywood,-1.79E-05,-5.47E-06
369,known,-1.79E-05,-2.86E-05
370,difficult,-1.78E-05,2.25E-05
371,na,-1.78E-05,-4.15E-06
372,conclusion,-1.77E-05,-3.91E-06
373,noble,-1.77E-05,-3.14E-05
374,thigh,-1.77E-05,-2.23E-05
375,yo,-1.76E-05,-1.35E-05
376,suspended,-1.76E-05,-1.30E-05
377,jet,-1.74E-05,-1.49E-05
378,montreal,-1.74E-05,1.15E-05
379,watch,-1.74E-05,-4.23E-06
380,mommy,-1.73E-05,5.26E-06
381,paris,-1.72E-05,-1.70E-05
382,ducks,-1.72E-05,9.33E-06
383,burnt,-1.71E-05,-1.46E-05
384,dem,-1.70E-05,-8.69E-06
385,detroit,-1.69E-05,-3.82E-05
386,moments,-1.68E-05,-1.01E-05
387,ted,-1.68E-05,3.30E-06
388,russia,-1.68E-05,-3.45E-06
389,comeback,-1.68E-05,1.06E-05
390,est,-1.67E-05,-7.33E-06
391,el,-1.67E-05,-2.73E-06
392,torture,-1.67E-05,2.20E-05
393,earliest,-1.67E-05,-1.24E-05
394,seeing,-1.67E-05,-8.37E-06
395,dat,-1.66E-05,-1.04E-05
396,party,-1.66E-05,-1.19E-05
397,growing,-1.65E-05,-2.00E-08
398,busted,-1.64E-05,1.30E-05
399,neither,-1.63E-05,-5.91E-06
400,rich,-1.62E-05,-8.25E-06
401,shadow,-1.62E-05,-1.03E-05
402,poland,-1.62E-05,5.04E-07
403,trips,-1.61E-05,-9.72E-06
404,victoria,-1.61E-05,-1.08E-05
405,proves,-1.60E-05,-1.78E-05
406,map,-1.59E-05,2.08E-05
407,rum,-1.59E-05,6.37E-06
408,nickname,-1.58E-05,1.05E-05
409,troy,-1.58E-05,1.90E-05
410,lately,-1.58E-05,-1.56E-06
411,ding,-1.57E-05,9.50E-07
412,cape,-1.57E-05,-3.94E-05
413,fooled,-1.56E-05,2.29E-05
414,dollar,-1.56E-05,7.06E-06
415,buffalo,-1.56E-05,1.48E-05
416,attached,-1.55E-05,1.21E-05
417,comfort,-1.55E-05,-2.03E-05
418,wat,-1.55E-05,-7.36E-06
419,la,-1.55E-05,1.12E-06
420,vintage,-1.55E-05,2.00E-05
421,lori,-1.54E-05,3.19E-05
422,aw,-1.54E-05,2.63E-06
423,crushing,-1.54E-05,7.45E-06
424,fits,-1.53E-05,-1.20E-05
425,grave,-1.53E-05,1.59E-05
426,selena,-1.53E-05,-3.70E-06
427,lewis,-1.51E-05,4.78E-06
428,hung,-1.51E-05,-1.09E-05
429,valentine,-1.51E-05,2.17E-06
430,ignorance,-1.51E-05,-1.99E-06
431,last,-1.50E-05,7.17E-06
432,nature,-1.50E-05,-5.40E-06
433,jai,-1.50E-05,5.85E-06
434,tribute,-1.48E-05,3.15E-05
435,esteem,-1.48E-05,-3.72E-05
436,violence,-1.48E-05,-8.39E-06
437,musical,-1.47E-05,1.95E-05
438,postponed,-1.47E-05,9.28E-07
439,halfway,-1.47E-05,-9.15E-06
440,dark,-1.47E-05,-1.37E-05
441,gentle,-1.46E-05,-1.96E-05
442,consume,-1.46E-05,-9.02E-06
443,mi,-1.46E-05,-1.01E-05
444,jenna,-1.45E-05,7.38E-06
445,bt,-1.44E-05,2.80E-06
446,commercials,-1.43E-05,-7.33E-06
447,allah,-1.43E-05,-2.17E-05
448,purchase,-1.42E-05,2.17E-05
449,wal,-1.42E-05,9.64E-06
450,remember,-1.41E-05,-6.74E-06
451,thy,-1.41E-05,-7.79E-06
452,goodbye,-1.41E-05,-7.40E-06
453,honor,-1.41E-05,-3.60E-05
454,awful,-1.40E-05,-1.39E-05
455,failure,-1.40E-05,1.91E-06
456,disappointment,-1.40E-05,2.88E-05
457,loyalty,-1.39E-05,-4.36E-05
458,lose,-1.38E-05,-6.70E-06
459,cloudy,-1.38E-05,-6.30E-06
460,angels,-1.38E-05,-1.49E-05
461,ma,-1.37E-05,-7.10E-06
462,invited,-1.37E-05,-4.71E-06
463,former,-1.36E-05,-6.26E-06
464,pets,-1.36E-05,-8.57E-06
465,folding,-1.36E-05,-1.93E-05
466,dream,-1.35E-05,-9.98E-06
467,reminder,-1.35E-05,5.76E-06
468,feel,-1.35E-05,-3.87E-06
469,close,-1.35E-05,4.44E-06
470,each,-1.35E-05,-8.36E-06
471,perfect,-1.34E-05,-9.84E-06
472,searching,-1.34E-05,1.05E-05
473,series,-1.32E-05,-3.24E-05
474,pas,-1.32E-05,3.86E-06
475,hole,-1.31E-05,-1.02E-05
476,prayers,-1.31E-05,-5.82E-06
477,moment,-1.31E-05,-5.21E-06
478,usc,-1.31E-05,9.22E-07
479,highlight,-1.31E-05,1.88E-05
480,disappeared,-1.30E-05,5.15E-05
481,cloud,-1.30E-05,-1.57E-06
482,corner,-1.30E-05,-8.34E-06
483,swing,-1.30E-05,-2.68E-05
484,support,-1.30E-05,-2.53E-06
485,shitty,-1.29E-05,-8.07E-06
486,tickets,-1.29E-05,1.24E-05
487,bust,-1.29E-05,-2.52E-06
488,knowing,-1.29E-05,-2.88E-05
489,deals,-1.29E-05,1.52E-05
490,maple,-1.28E-05,-1.84E-05
491,clouds,-1.27E-05,1.85E-05
492,brake,-1.27E-05,-3.04E-05
493,kissed,-1.27E-05,-9.43E-06
494,furniture,-1.25E-05,2.36E-05
495,meaning,-1.25E-05,-7.35E-06
496,reminding,-1.25E-05,1.79E-05
497,guessing,-1.25E-05,-2.49E-05
498,wrap,-1.25E-05,-3.68E-06
499,pause,-1.24E-05,-1.01E-05
500,finale,-1.23E-05,1.07E-05
501,fighting,-1.23E-05,-1.91E-05
502,rub,-1.23E-05,-5.12E-06
503,nanny,-1.22E-05,1.37E-05
504,en,-1.22E-05,-7.46E-06
505,com,-1.22E-05,5.16E-06
506,indeed,-1.21E-05,1.36E-05
507,gray,-1.20E-05,-3.75E-07
508,waited,-1.20E-05,-2.26E-05
509,forgot,-1.20E-05,6.61E-06
510,money,-1.20E-05,-1.22E-05
511,greatly,-1.19E-05,2.23E-06
512,starbucks,-1.19E-05,7.42E-06
513,mass,-1.19E-05,1.08E-06
514,lack,-1.19E-05,-8.03E-06
515,leaving,-1.18E-05,-3.02E-06
